,DATE,TIME,STADIUM,CLASS,ATTENDANCE,HOME TEAM,HOME TEAM GOALS,AWAY TEAM,AWAY TEAM GOALS,HOME POSSESSIONS,AWAY POSSESSIONS,HOME SHOTS,AWAY SHOTS,HOME ON(SUBS),AWAY ON(SUBS),HOME OFF(SUBS),AWAY OFF(SUBS),HOME BLOCKED SHOTS,AWAY BLOCKED SHOTS,HOME PASSES,AWAY PASSES,HOME CHANCES,AWAY CHANCES,HOME CORNERS,AWAY CORNERS,HOME OFFSIDES,AWAY OFFSIDES,HOME TACKLES,AWAY TACKLES,HOME DUELS WON,AWAY DUELS WON,HOME SAVES,AWAY SAVES,HOME FOULS,AWAY FOULS,HOME YELLOW CARDS,AWAY YELLOW CARDS,HOME RED CARDS,AWAY RED CARDS,YEAR,TOTAL GOALS,match_results
69,2023-04-09,4:30pm,Anfield,d,53267.0,5,2,2,2,59.0,41.0,21,9,6,5,10,2,5,2,82.3,76.6,6,2,5,4,2,2,54.5,52.4,51.9,48.1,3,4,11,11,4,4,0,0,2023,4,Draw
70,2023-04-08,12:30p,Old Trafford,h,73509.0,3,2,17,0,63.8,36.2,29,15,11,1,10,6,8,8,87.1,71.3,5,1,10,4,3,2,60.0,66.7,50.0,50.0,1,9,10,9,0,0,0,0,2023,2,Home win
71,2023-04-08,3:00pm,Villa Park,h,42076.0,7,2,16,0,65.3,34.7,8,6,3,2,4,1,1,3,85.7,65.6,1,0,1,8,1,7,66.7,64.7,44.0,56.0,2,1,7,17,3,4,0,0,2023,2,Home win
72,2023-04-08,3:00pm,Gtech Community Stadium,a,17107.0,9,1,4,2,41.0,59.0,12,10,6,4,4,4,2,2,75.5,82.6,0,1,6,5,2,2,87.5,52.6,53.3,46.7,3,5,10,15,0,2,0,0,2023,3,Away win
73,2023-04-08,3:00pm,Craven Cottage,a,24491.0,10,0,14,1,76.6,23.4,16,9,3,5,2,4,11,0,88.2,62.2,1,1,11,4,0,2,52.9,35.3,38.5,61.5,5,3,10,12,1,1,0,0,2023,1,Away win
74,2023-04-08,3:00pm,The King Power Stadium,a,32094.0,18,0,15,1,50.8,49.2,14,19,4,7,8,2,2,10,75.4,78.7,1,1,6,6,3,2,42.1,62.5,47.4,52.6,6,4,10,13,0,3,0,0,2023,1,Away win
75,2023-04-08,3:00pm,Tottenham Hotspur Stadium,h,61405.0,8,2,6,1,35.2,64.8,9,17,3,4,4,5,2,8,77.3,87.1,0,2,3,7,2,1,58.8,44.4,33.3,66.7,3,1,15,15,3,1,0,0,2023,3,Home win
76,2023-04-08,3:00pm,Molineux,h,31614.0,13,1,12,0,37.6,62.4,9,13,4,1,3,4,2,8,74.5,83.6,0,0,8,8,2,1,59.1,55.6,36.0,64.0,1,3,14,10,2,5,0,0,2023,1,Home win
77,2023-04-08,5:30pm,St. Mary's Stadium,a,30963.0,20,1,1,4,27.2,72.8,4,13,1,8,2,2,1,3,75.3,89.2,1,3,0,10,0,2,81.8,77.8,35.0,65.0,4,0,6,10,0,2,0,0,2023,5,Away win
78,2023-04-05,8:00pm,Old Trafford,h,73309.0,3,1,9,0,64.7,35.3,18,6,3,1,8,4,7,1,85.7,76.1,1,1,12,3,2,1,73.3,72.2,57.5,42.5,1,2,9,13,3,2,0,0,2023,1,Home win
79,2023-04-05,8:00pm,London Stadium,a,62470.0,14,1,4,5,42.0,58.0,7,15,2,8,3,5,2,2,73.6,80.7,1,4,7,6,0,0,38.5,58.3,38.7,61.3,2,1,11,12,2,1,0,0,2023,6,Away win
80,2023-04-04,7:45pm,Vitality Stadium,a,10266.0,15,0,6,2,36.7,63.3,14,16,3,6,6,9,5,1,78.2,87.1,1,3,5,5,1,0,44.4,52.9,46.2,53.8,4,3,11,5,1,1,0,0,2023,2,Away win
81,2023-04-04,7:45pm,Elland Road,h,36740.0,19,2,16,1,62.4,37.6,21,13,6,1,6,4,9,8,81.2,66.9,1,0,11,4,3,3,60.0,27.8,60.5,39.5,0,4,11,13,1,4,0,0,2023,3,Home win
82,2023-04-04,7:45pm,The King Power Stadium,a,32087.0,18,1,7,2,35.9,64.1,9,15,4,5,4,5,1,5,74.5,88.2,2,1,4,8,2,1,68.4,42.9,37.5,62.5,3,3,10,14,2,0,1,0,2023,3,Away win
83,2023-04-04,8:00pm,Stamford Bridge,d,40093.0,12,0,5,0,49.6,50.4,12,7,3,4,7,0,2,3,83.7,83.6,3,0,3,5,4,3,75.0,53.8,44.4,55.6,3,2,6,17,1,4,0,0,2023,0,Draw
84,2023-03-19,2:00pm,Emirates Stadium,h,60247.0,2,4,11,1,62.2,37.8,15,9,5,5,5,1,5,3,86.7,77.9,1,1,5,4,2,2,60.0,55.6,62.1,37.9,4,1,8,10,0,1,0,0,2023,5,Home win
85,2023-03-18,3:00pm,Villa Park,h,41021.0,7,3,15,0,55.8,44.2,20,10,9,3,3,4,8,3,85.2,84.0,5,0,9,6,0,2,62.5,75.0,43.8,56.3,3,6,8,13,1,4,0,0,2023,3,Home win
86,2023-03-18,3:00pm,Gtech Community Stadium,d,17006.0,9,1,18,1,52.9,47.1,11,14,2,1,2,6,7,7,77.3,80.1,0,1,8,4,1,3,77.3,41.7,51.6,48.4,0,1,10,11,1,2,1,0,2023,2,Draw
87,2023-03-18,3:00pm,St. Mary's Stadium,d,30157.0,20,3,8,3,50.4,49.6,19,17,7,3,7,9,5,5,84.9,83.8,2,2,10,3,2,1,76.9,68.4,41.7,58.3,0,4,13,8,1,1,0,0,2023,6,Draw
88,2023-03-18,3:00pm,Molineux,a,31570.0,13,2,19,4,65.9,34.1,23,11,8,4,9,5,6,2,83.1,67.7,4,2,5,4,2,0,71.4,66.7,59.3,40.7,0,6,15,9,3,5,2,0,2023,6,Away win
89,2023-03-18,5:30pm,Stamford Bridge,d,40025.0,12,2,17,2,68.9,31.1,20,12,7,3,3,4,10,5,83.9,67.1,0,3,8,2,2,1,73.3,65.0,67.9,32.1,1,5,8,12,2,2,0,0,2023,4,Draw
90,2023-03-17,8:00pm,The City Ground,a,29362.0,16,1,4,2,38.4,61.6,5,15,3,4,2,5,0,6,67.4,79.7,0,2,3,7,1,1,75.0,73.3,34.2,65.8,2,2,17,9,5,1,0,0,2023,3,Away win
91,2023-03-15,7:30pm,Amex Stadium,h,30933.0,6,1,11,0,57.1,42.9,11,11,5,3,5,6,1,2,84.3,80.2,0,2,1,4,2,0,55.0,73.3,76.9,23.1,3,4,13,20,1,2,0,0,2023,1,Home win
92,2023-03-15,7:30pm,St. Mary's Stadium,a,30438.0,20,0,9,2,66.4,33.6,7,11,1,5,3,2,3,4,82.4,64.4,0,3,3,3,1,1,37.5,55.0,41.5,58.5,2,0,14,10,1,2,0,0,2023,2,Away win
93,2023-03-12,2:00pm,Craven Cottage,a,24426.0,10,0,2,3,44.7,55.3,12,15,2,7,6,3,4,5,82.7,86.5,0,4,4,8,2,2,57.1,70.0,59.3,40.7,4,2,10,9,0,1,0,0,2023,3,Away win
94,2023-03-12,2:00pm,Old Trafford,d,73439.0,3,0,20,0,46.7,53.3,10,17,4,4,3,4,3,9,78.0,84.5,2,1,7,8,0,2,43.5,78.6,68.8,31.3,4,4,12,9,2,0,1,0,2023,0,Draw
95,2023-03-12,2:00pm,London Stadium,h,62472.0,14,1,7,1,40.8,59.2,17,12,6,4,8,4,3,4,82.4,87.0,2,3,13,2,6,1,55.6,66.7,60.0,40.0,3,4,9,6,1,0,0,0,2023,2,Draw
